week_start,Store_ID,Zone,Category,forecast_units_base
2025-12-15,2,East,Accessories,0.0
2025-12-15,4,East,Accessories,0.0
2025-12-15,17,East,Accessories,0.0
2025-12-15,15,East,Accessories,0.0
2025-12-15,13,East,Accessories,0.0
2025-12-15,2,East,Dresses,9.250135169378359
2025-12-15,4,East,Dresses,13.494465652559544
2025-12-15,17,East,Dresses,12.63549858178293
2025-12-15,15,East,Dresses,9.250135169378359
2025-12-15,13,East,Dresses,9.250135169378359
2025-12-15,2,East,Jackets,12.130252155203051
2025-12-15,4,East,Jackets,15.55833533517581
2025-12-15,17,East,Jackets,12.130252155203051
2025-12-15,15,East,Jackets,12.130252155203051
2025-12-15,13,East,Jackets,15.333550140652116
2025-12-15,2,East,Shirts,11.636669638976155
2025-12-15,4,East,Shirts,6.179753681210706
2025-12-15,15,East,Shirts,6.179753681210706
2025-12-15,17,East,Shirts,6.179753681210706
2025-12-15,13,East,Shirts,6.179753681210706
2025-12-15,2,East,Trousers,0.0
2025-12-15,4,East,Trousers,0.0
2025-12-15,15,East,Trousers,0.0
2025-12-15,17,East,Trousers,0.0
2025-12-15,13,East,Trousers,0.0
2025-12-15,3,North,Accessories,0.0
2025-12-15,10,North,Accessories,0.0
2025-12-15,16,North,Accessories,0.0
2025-12-15,19,North,Accessories,0.0
2025-12-15,11,North,Accessories,0.0
2025-12-15,14,North,Accessories,0.0
2025-12-15,3,North,Dresses,14.541418482677914
2025-12-15,10,North,Dresses,14.541418482677914
2025-12-15,16,North,Dresses,14.541418482677914
2025-12-15,19,North,Dresses,14.541418482677914
2025-12-15,11,North,Dresses,14.541418482677914
2025-12-15,14,North,Dresses,14.541418482677914
2025-12-15,3,North,Jackets,6.3760476391203
2025-12-15,10,North,Jackets,5.449874417461632
2025-12-15,16,North,Jackets,5.449874417461632
2025-12-15,19,North,Jackets,5.449874417461632
2025-12-15,11,North,Jackets,5.449874417461632
2025-12-15,14,North,Jackets,5.449874417461632
2025-12-15,3,North,Shirts,7.469777082912689
2025-12-15,16,North,Shirts,14.30657999596502
2025-12-15,19,North,Shirts,7.469777082912689
2025-12-15,10,North,Shirts,11.436799960026976
2025-12-15,11,North,Shirts,7.469777082912689
2025-12-15,14,North,Shirts,7.469777082912689
2025-12-15,10,North,Trousers,6.224922729460231
2025-12-15,19,North,Trousers,10.229740035682328
2025-12-15,3,North,Trousers,6.224922729460231
2025-12-15,16,North,Trousers,5.348808271969631
2025-12-15,11,North,Trousers,6.937948559888769
2025-12-15,14,North,Trousers,6.224922729460231
2025-12-15,8,South,Accessories,7.964937046523962
2025-12-15,12,South,Accessories,7.964937046523962
2025-12-15,20,South,Accessories,7.964937046523962
2025-12-15,20,South,Dresses,29.049894162182177
2025-12-15,8,South,Dresses,62.56714593227089
2025-12-15,12,South,Dresses,36.98081283181244
2025-12-15,20,South,Jackets,20.54574402802963
2025-12-15,8,South,Jackets,20.54574402802963
2025-12-15,12,South,Jackets,20.54574402802963
2025-12-15,20,South,Shirts,0.0
2025-12-15,8,South,Shirts,0.0
2025-12-15,12,South,Shirts,0.0
2025-12-15,8,South,Trousers,18.217438862663844
